Sales by Customer Summary,
Sandbox Company_US_1,
"January 1-December 31, 2025",

Customer,Total
Amy's Bird Sanctuary,630.00
Bill's Windsurf Shop,260.00
Cool Cars,"2,194.00"
Diego Rodriguez,140.00
Dukes Basketball Camp,422.00
Dylan Sollfrank,337.50
Freeman Sporting Goods,
0969 Ocean View Road,"1,058.75"
55 Twin Lane,205.00
Total for Freeman Sporting Goods,"$1,263.75"
Geeta Kalapatapu,582.50
Jeff's Jalopies,75.00
John Melton,750.00
Kate Whelan,225.00
Kookies by Kathy,75.00
Mark Cho,291.00
Paulsen Medical Supplies,954.75
Pye's Cakes,-8.75
Red Rock Diner,226.00
Rondonuwu Fruit and Vegi,75.00
Shara Barnett,
Barnett Design,274.50
Total for Shara Barnett,$274.50
Sonnenschein Family Store,335.25
Sushi by Katsuyuki,240.00
Travis Waldron,562.55
Weiskopf Consulting,375.00
TOTAL,"$10,280.05"



"Accrual Basis Sunday, December 21, 2025 11:31 PM GMTZ",
